 LIST PRICE ,HIGH,HOME TYPE,LOCATION,SQFT
3650000,0,Single Family Residential,Beverly Hills,3102
3675000,0,Single Family Residential,Santa Monica,6585
3695000,0,Condo/Coop,Beverly Hills,3182
3725000,0,Single Family Residential,Santa Monica,5038
3750000,0,Single Family Residential,Beverly Hills,4125
3795000,0,Single Family Residential,Beverly Hills,5270
3795000,0,Single Family Residential,Beverly Hills,3800
3950000,0,Condo/Coop,Santa Monica,3239
3995000,0,Single Family Residential,Beverly Hills,2819
3995000,0,Single Family Residential,Beverly Hills,5178
3995000,0,Single Family Residential,Santa Monica,
4195000,0,Single Family Residential,Beverly Hills,4955
4250000,0,Single Family Residential,Beverly Hills,8114
4295000,0,Single Family Residential,Santa Monica,4340
4475000,0,Single Family Residential,Santa Monica,3291
4499000,0,Single Family Residential,Beverly Hills,3598
4500000,0,Single Family Residential,Beverly Hills,3680
4599000,0,Single Family Residential,Beverly Hills,4125
4750000,0,Single Family Residential,Beverly Hills,4049
4795000,0,Single Family Residential,Beverly Hills,4289
4950000,0,Single Family Residential,Beverly Hills,3114
4999999,0,Single Family Residential,Beverly Hills,9757
5200000,0,Single Family Residential,Beverly Hills,7059
5200000,0,Condo/Coop,Santa Monica,3175
5200000,0,Condo/Coop,Santa Monica,3029
5298000,0,Single Family Residential,Beverly Hills,5046
5395000,0,Single Family Residential,Beverly Hills,6000
5595000,0,Single Family Residential,Beverly Hills,5046
5595000,0,Single Family Residential,Santa Monica,3135
5900000,0,Single Family Residential,Beverly Hills,7195
5995000,0,Single Family Residential,Beverly Hills,7157
6150000,0,Single Family Residential,Beverly Hills,5000
6300000,0,Single Family Residential,Beverly Hills,7232
6500000,0,Single Family Residential,Beverly Hills,
6500000,0,Single Family Residential,Beverly Hills,5749
6695000,0,Single Family Residential,Beverly Hills,6700
6872000,0,Single Family Residential,Santa Monica,6055
7250000,0,Single Family Residential,Beverly Hills,6093
7460000,0,Condo/Coop,Beverly Hills,2825
7495000,0,Single Family Residential,Beverly Hills,5000
7500000,0,Single Family Residential,Beverly Hills,4443
7500000,0,Condo/Coop,Santa Monica,4775
7500000,0,Single Family Residential,Santa Monica,2313
7695000,0,Single Family Residential,Beverly Hills,5114
7799000,0,Single Family Residential,Beverly Hills,
7950000,0,Single Family Residential,Beverly Hills,
7950000,0,Single Family Residential,Beverly Hills,5549
7950000,0,Single Family Residential,Beverly Hills,6000
7995000,0,Single Family Residential,Beverly Hills,6330
8000000,0,Single Family Residential,Beverly Hills,10395
8195000,0,Single Family Residential,Beverly Hills,8049
8395000,0,Single Family Residential,Beverly Hills,4772
8495000,0,Single Family Residential,Beverly Hills,8522
8900000,0,Single Family Residential,Beverly Hills,6057
8995000,0,Single Family Residential,Beverly Hills,4000
8995000,0,Single Family Residential,Beverly Hills,
9250000,0,Single Family Residential,Beverly Hills,10776
9700000,0,Single Family Residential,Beverly Hills,7900
9750000,0,Single Family Residential,Beverly Hills,
9750000,0,Single Family Residential,Beverly Hills,7299
9950000,0,Single Family Residential,Beverly Hills,8533
9995000,0,Single Family Residential,Beverly Hills,9385
9995000,0,Single Family Residential,Beverly Hills,10000
10850000,0,Single Family Residential,Beverly Hills,8450
11750000,0,Single Family Residential,Beverly Hills,11206
12500000,0,Single Family Residential,Beverly Hills,10244
12500000,0,Single Family Residential,Beverly Hills,9302
12500000,0,Single Family Residential,Santa Monica,7801
12895000,0,Single Family Residential,Beverly Hills,9508
