objectid,ff,co,numstreet,city,state,metro,zipcodes,Latitude,Longitude
1176,Fast Food,Popeye's,201C Great Mills Rd,Lexington Park,MD,St. Mary's,20653,38.254307,-76.48035
1222,Fast Food,Popeye's,12120 Central Ave,Mitchellville,MD,Prince George's,20721,38.900715,-76.796109
1312,Fast Food,Popeye's,3410 Olney-Laytonville Rd,Olney,MD,Montgomery,20830,39.152886,-77.067544
1325,Fast Food,Popeye's,10101 Reisterstown Rd,Owings Mills,MD,Baltimore,21117,39.414239,-76.772118
1342,Fast Food,Popeye's,6247 Livingston Rd,Oxon Hill,MD,Prince George's,20745,38.805001,-76.990826
1343,Fast Food,Popeye's,5151 Indian Head Hwy,Oxon Hill,MD,Prince George's,20745,38.818883,-77.000693
1362,Fast Food,Popeye's,2016 E. Joppa Rd,Parkville,MD,Baltimore,21234,39.399057,-76.542849
1381,Fast Food,Popeye's,8700 Ft. Smallwood Rd,Pasadena,MD,Anne Arundel,21122,39.144368,-76.525763
1419,Fast Food,Popeye's,7747 Tuckerman Ln,Potomac,MD,Montgomery,20854,39.040666,-77.155495
1430,Fast Food,Popeye's,30293 Mt Vernon Rd,Princess Anne,MD,Somerset,21853,38.213046,-75.701417
1438,Fast Food,Popeye's,8505 Liberty Road,Randallstown,MD,Baltimore,21133,39.359546,-76.774885
1473,Fast Food,Popeye's,587 Hungerford Drive,Rockville,MD,Montgomery,20850,39.0918,-77.152365
1474,Fast Food,Popeye's,11720 Rockville Pike,Rockville,MD,Montgomery,20852,39.049047,-77.114713
1529,Fast Food,Popeye's,2416 N. Salisbury Blvd,Salisbury,MD,Wicomico,21801,38.404325,-75.569097
1530,Fast Food,Popeye's,945 S. Salisbury Blvd,Salisbury,MD,Wicomico,21801,38.351571,-75.60168
1540,Fast Food,Popeye's,6214 Central Ave,Seat Pleasant,MD,Prince George's,20743,38.887497,-76.901998
1543,Fast Food,Popeye's,2612 Annapolis Rd,Severn,MD,Anne Arundel,21144,39.129784,-76.736793
1553,Fast Food,Popeye's,503 Governor Ritchie Hwy,Severna Park,MD,Anne Arundel,21146,39.057923,-76.528281
1575,Fast Food,Popeye's,8641 16th St,Silver Spring,MD,Montgomery,20910,38.998678,-77.038654
1576,Fast Food,Popeye's,11311 Lockwood Drive,Silver Spring,MD,Montgomery,20904,39.040048,-76.989122
1577,Fast Food,Popeye's,12102 Georgia Ave.,Silver Spring,MD,Montgomery,20902,39.053283,-77.051142
1610,Fast Food,Popeye's,4621 Silver Hill Rd,Suitland,MD,Prince George's,20706,38.845724,-76.92696
1619,Fast Food,Popeye's,6350 New Hampshire Ave,Takoma Park,MD,Montgomery,20912,38.966945,-77.001988
1709,Fast Food,Popeye's,1110 Mall Circle St.,Waldorf,MD,Charles,20603,38.620529,-76.91703
1710,Fast Food,Popeye's,2485 Crain Hwy,Waldorf,MD,Charles,20601,38.64338,-76.89421
1739,Fast Food,Popeye's,624 Baltimore Blvd,Westminster,MD,Carroll,21157,39.564652,-76.97355
1752,Fast Food,Popeye's,11160 Veirs Mill Road,Wheaton,MD,Montgomery,20902,39.036869,-77.054843
1779,Fast Food,Popeye's,1811 N. Rolling Road,Woodlawn,MD,Baltimore,21244,39.312155,-76.754312
