objectid,ff,co,numstreet,city,state,metro,zipcode,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
1637,"Fast Food","Burger King","2000 York Road",Thurmont,MD,Baltimore,21093,39.436481,-76.625249,1,rooftop,2000,"York Rd",,,"Lutherville Timonium",MD,"Baltimore County",21093,US,Baltimore
1647,"Fast Food","Burger King","1043 Taylor Avenue",Towson,MD,Baltimore,21286,39.383789,-76.57469,1,rooftop,1043,"Taylor Ave",,,Towson,MD,"Baltimore County",21286,US,Baltimore
1648,"Fast Food","Burger King","925 York Road",Towson,MD,Baltimore,21204,39.408806,-76.607776,1,rooftop,925,"York Rd",,,Towson,MD,"Baltimore County",21204,US,Baltimore
1649,"Fast Food","Burger King","825 Dulaney Valley Rd",Towson,MD,Baltimore,21204,39.403317,-76.599209,1,rooftop,825,"Dulaney Valley Rd",,,Towson,MD,"Baltimore County",21204,US,Baltimore
1692,"Fast Food","Burger King","1110 Smallwood Drive",Waldorf,MD,Charles,20603,38.611894,-76.925726,1,range_interpolation,1110,"Smallwood Dr",,,Waldorf,MD,"Charles County",20603,US,"TIGER/Line® dataset from the US Census Bureau"
1693,"Fast Food","Burger King","2375 Crain Highway",Waldorf,MD,Charles,20601,38.64637,-76.890412,1,rooftop,2375,"Crain Hwy",,,Waldorf,MD,"Charles County",20601,US,"Statewide MD"
1729,"Fast Food","Burger King","454 Wmc Drive",Westminster,MD,Carroll,21158,39.586858,-77.01227,1,rooftop,454,"Wmc Dr",,,Westminster,MD,"Carroll County",21158,US,Carroll
1730,"Fast Food","Burger King","Crossroads Shopping Center",Westminster,MD,Carroll,21157,39.564201,-76.980701,1,place,,,,,Westminster,MD,"Carroll County",21157,US,"TIGER/Line® dataset from the US Census Bureau"
1756,"Fast Food","Burger King","8233 Perry Hall Blvd","White Marsh",MD,Baltimore,21236,39.375123,-76.471748,1,rooftop,8233,"Perry Hall Blvd",,,Nottingham,MD,"Baltimore County",21236,US,Baltimore
1757,"Fast Food","Burger King","9999 Pulaski Highway","White Marsh",MD,Baltimore,21220,39.359485,-76.446241,1,rooftop,9999,"Pulaski Hwy",,,"Middle River",MD,"Baltimore County",21220,US,Baltimore
1775,"Fast Food","Burger King","1650 Belmont Avenue",Woodlawn,MD,Baltimore,21244,39.314586,-76.749684,1,rooftop,1650,"Belmont Ave",,,"Windsor Mill",MD,"Baltimore County",21244,US,Baltimore
