objectid,ff,co,numstreet,city,state,metro,zipcode,Latitude,Longitude
902,Fast Food,Hardees,1699 Crain Hwy S,Glen Burnie,MD,Anne Arundel,21061,39.143307,-76.631122
1010,Fast Food,Hardees,42 East Main Street,Hancock,MD,Washington,21750,39.698846,-78.17494
1017,Fast Food,Hardees,2635 Annapolis Rd,Hanover,MD,Anne Arundel,21076,39.130842,-76.739799
1182,Fast Food,Hardees,718 Nursery Rd,Linthicum,MD,Anne Arundel,21090,39.22475,-76.659243
1379,Fast Food,Hardees,4111 Mountain Rd,Pasadena,MD,Anne Arundel,21122,39.12213,-76.515325
1518,Fast Food,Hardees,1301 S Salisbury Blvd,Salisbury,MD,Wicomico,21801,38.344027,-75.60312
1519,Fast Food,Hardees,2403 N Salisbury Blvd,Salisbury,MD,Wicomico,21801,38.402614,-75.5686
1606,Fast Food,Hardees,1157 Shopping Center Rd,Stevensville,MD,Queen Anne's,21666,38.975348,-76.298277
