object id,ff,co,numstreet,city,state,metro,zipcode,Latitude,Longitude
1390,Fast Food,Wendy's,8457 Ft. Smallwood Road,Pasadena,MD,Anne Arundel,21122,-8518077.824,4744574.352
1394,Fast Food,Wendy's,8700 Belair Rd,Perry Hall,MD,Baltimore,21236,-8514645.741,4777988.838
1395,Fast Food,Wendy's,5001 Honeygo Center Drive,Perry Hall,MD,Baltimore,21128,-8509792.477,4779835.867
1427,Fast Food,Wendy's,170 Solomons Island Rd N,Prince Frederick,MD,Calvert,20678,-8525893.402,4656057.316
1442,Fast Food,Wendy's,8610 Liberty Rd.,Randallstown,MD,Baltimore,21133,-8547077.35,4773629.599
1456,Fast Food,Wendy's,6210 Kenilworth Avenue,Riverdale,MD,Prince George's,20737,-8562664.815,4716225.163
1487,Fast Food,Wendy's,808 Rockville Pike,Rockville,MD,Montgomery,20855,-8587125.547,4732748.203
1488,Fast Food,Wendy's,5001 Nicholson Road,Rockville,MD,Montgomery,20850,-8583047.92,4728403.984
1535,Fast Food,Wendy's,1101 S Salisbury Blvd,Salisbury,MD,Wicomico,21801,-8415984.153,4628783.299
1536,Fast Food,Wendy's,2710 N.Salisbury Blvd,Salisbury,MD,Wicomico,21801,-8411995.191,4638447.625
1537,Fast Food,Wendy's,403 Punkin Court,Salisbury,MD,Wicomico,21804,-8409256.673,4631292.539
1595,Fast Food,Wendy's,13804 Outlet Drive,Silver Spring,MD,Montgomery,20904,-8565722.516,4733460.131
1596,Fast Food,Wendy's,14012 Connecticut Ave,Silver Spring,MD,Montgomery,20906,-8580162.938,4733724.722
1597,Fast Food,Wendy's,11030 Viers Mill Road,Silver Spring,MD,Montgomery,20902,-8577346.014,4727015.041
1621,Fast Food,Wendy's,6823 New Hampshire Ave,Takoma Park,MD,Montgomery,20912,-8571093.123,4717944.616
1634,Fast Food,Wendy's,3636 Branch Avenue,Temple Hills,MD,Prince George's,20784,-8565838.633,4699063.049
1646,Fast Food,Wendy's,303 Tippin Drive,Thurmont,MD,Frederick,21788,-8618526.14,4810338.284
1687,Fast Food,Wendy's,8 Watkins Park Dr,Upper Marlboro,MD,Prince George's,20774,-8548427.123,4707286.073
1688,Fast Food,Wendy's,15400 Chrysler Drive,Upper Marlboro,MD,Prince George's,20772,-8542595.623,4695593.036
1719,Fast Food,Wendy's,3005 Crain Hwy,Waldorf,MD,Charles,20603,-8561209.443,4668871.463
1720,Fast Food,Wendy's,3355 Leonardtown Road,Waldorf,MD,Charles,20604,-8560490.997,4667449.318
1749,Fast Food,Wendy's,395 North Center Street,Westminster,MD,Carroll,21157,-8569645.96,4804438.477
1762,Fast Food,Wendy's,8241 Perry Hall Blvd,White Marsh,MD,Baltimore,21236,-8512823.289,4775907.428
1770,Fast Food,Wendy's,2351 Rolling Road,Windsor Mill,MD,Baltimore,21244,-8544784.373,4768159.052
1782,Fast Food,Wendy's,1660 Whitehead Ct,Woodlawn,MD,Baltimore,21207,-8542710.13,4766346.959
1782,Fast Food,Wendy's,1660 Whitehead Ct,Woodlawn,MD,Baltimore,21207,-8542710.13,4766346.959
