objectid,ff,co,numstreet,city,state,metro,zipcode,Latitude,Longitude
1304,Fast Food,KFC,1682 Annapolis Rd,Odenton,MD,Anne Arundel,21113,39.108812,-76.723295
1338,Fast Food,KFC,6140 Oxon Hill Road,Oxon Hill,MD,Prince George's,20745,38.804299,-76.977597
1380,Fast Food,KFC,4107 Mountain Road,Pasadena,MD,Anne Arundel,21122,39.122477,-76.516397
1397,Fast Food,KFC,61 Heather Lane,Perryville,MD,Cecil,21903,39.589353,-76.066774
1412,Fast Food,KFC,101 Newtowne Boulevard,Pocomoke City,MD,Worcester,21851,38.075428,-75.556777
1423,Fast Food,KFC,65 West Dares Beach Road,Prince Frederick,MD,Calvert,20678,38.546586,-76.591144
1436,Fast Food,KFC,8634 Liberty Rd,Randallstown,MD,Baltimore,21133,39.362505,-76.780876
1446,Fast Food,KFC,11805 Reisterstown Rd,Reisterstown,MD,Baltimore,21136,39.44566,-76.811761
1467,Fast Food,KFC,15180 Frederick Rd,Rockville,MD,Montgomery,20850,39.103992,-77.157135
1468,Fast Food,KFC,9910 Key West Avenue,Rockville,MD,Montgomery,20850,39.102223,-77.208234
1520,Fast Food,KFC,1115 South Salisbury,Salisbury,MD,Wicomico,21801,38.347356,-75.602006
1521,Fast Food,KFC,307 Tilghman Road,Salisbury,MD,Wicomico,21804,38.365041,-75.547294
1552,Fast Food,KFC,511 Ritchie Hwy,Severna Park,MD,Anne Arundel,21146,39.080055,-76.54738
1601,Fast Food,KFC,13400 H.G. Trueman Rd,Solomons,MD,Calvert,20688,38.347346,-76.459634
1617,Fast Food,KFC,7720 Blair Road,Takoma Park,MD,Montgomery,20912,38.984011,-77.0254
1629,Fast Food,KFC,4047 Branch Ave,Temple Hills,MD,Prince George's,20748,38.83517,-76.944075
1638,Fast Food,KFC,1 Thurmont Blvd,Thurmont,MD,Frederick,21788,39.614225,-77.41829
1657,Fast Food,KFC,200-204 York Road,Towson,MD,Baltimore,21204,39.397732,-76.602809
1677,Fast Food,KFC,10 Watkins Park Drive,Upper Marlboro,MD,Prince George's,20774,38.899533,-76.791423
1678,Fast Food,KFC,5785 SW Crain Highway,Upper Marlboro,MD,Prince George's,20772,38.810617,-76.740663
1703,Fast Food,KFC,2180 Crain Highway,Waldorf,MD,Charles,20601,38.651263,-76.881747
1736,Fast Food,KFC,400 N Center St,Westminster,MD,Carroll,21157,39.580039,-76.983048
1750,Fast Food,KFC,2119 University Blvd W,Wheaton,MD,Montgomery,20902,39.041409,-77.047307
