objectid,ff,co,numstreet,city,state,metro,zipcode
1258,Fast Food,McDonald's,483 Cordon Way,Nottingham,MD,Baltimore,21236
1261,Fast Food,McDonald's,9106-9108 Belair Rd,Nottingham,MD,Baltimore,21236
1265,Fast Food,McDonald's,19549 Garrett Hwy,Oakland,MD,Garrett,21550
1266,Fast Food,McDonald's,19 N 3Rd St,Oakland,MD,Garrett,21550
1289,Fast Food,McDonald's,3201 Coastal Hwy,Ocean City,MD,Worcester,21842
1290,Fast Food,McDonald's,12301 Coastal Hwy,Ocean City,MD,Worcester,21842
1298,Fast Food,McDonald's,11041 Racetrack Rd,Ocean Pines,MD,Worcester,21811
1311,Fast Food,McDonald's,18010 Georgia Ave,Olney,MD,Montgomery,20832
1324,Fast Food,McDonald's,9774 Groffs Mill Dr,Owings Mills,MD,Baltimore,21117
1339,Fast Food,McDonald's,6126 Oxon Hill Road,Oxon Hill,MD,Prince George's,20745
1340,Fast Food,McDonald's,121 North Cove Terrace,Oxon Hill,MD,Prince George's,20745
1341,Fast Food,McDonald's,5500 Saint Barnabas Rd,Oxon Hill,MD,Prince George's,20745
1360,Fast Food,McDonald's,7309 Mc Clean Blvd,Parkville,MD,Baltimore,21234
1361,Fast Food,McDonald's,2107 E Joppa Rd,Parkville,MD,Baltimore,21234
1391,Fast Food,McDonald's,2465 Cedar Point Rd,Patuxent River,MD,St. Mary's,20670
1399,Fast Food,McDonald's,3425 Sweet Air Rd,Phoenix,MD,Baltimore,21131
1404,Fast Food,McDonald's,502 Reisterstown Rd,Pikesville,MD,Baltimore,21208
1413,Fast Food,McDonald's,Linden Ave & Lynn Haven Dr,Pocomoke City,MD,Worcester,21851
1415,Fast Food,McDonald's,19630 Fisher Ave.,Poolesville,MD,Montgomery,20837
1418,Fast Food,McDonald's,11301 Seven Locks Rd,Potomac,MD,Montgomery,20854
1424,Fast Food,McDonald's,515 N Solomons Island Rd,Prince Frederick,MD,Calvert,20678
1429,Fast Food,McDonald's,12112 Brittingham Ln,Princess Anne,MD,Somerset,21853
1437,Fast Food,McDonald's,9500 Liberty Rd,Randallstown,MD,Baltimore,21133
1448,Fast Food,McDonald's,12012 Reisterstown Rd,Reisterstown,MD,Baltimore,21136
1453,Fast Food,McDonald's,10 Rising Sun Town Center,Rising Sun,MD,Cecil,21911
1454,Fast Food,McDonald's,6228 Baltimore Blvd,Riverdale,MD,Prince George's,20737
1455,Fast Food,McDonald's,5600 Riverdale Rd,Riverdale,MD,Prince George's,20737
1469,Fast Food,McDonald's,1390 Rockville Pike,Rockville,MD,Montgomery,20852
1470,Fast Food,McDonald's,2101 Viers Mill Rd,Rockville,MD,Montgomery,20851
1471,Fast Food,McDonald's,16701 Crabbs Branch,Rockville,MD,Montgomery,20855
1472,Fast Food,McDonald's,11564 Rockville Pike,Rockville,MD,Montgomery,20852
1496,Fast Food,McDonald's,6420 Petrie Way,Rosedale,MD,Baltimore,21237
1497,Fast Food,McDonald's,6315 Kenwood Avenue,Rosedale,MD,Baltimore,21237
1523,Fast Food,McDonald's,1205 Parsons Rd,Salisbury,MD,Wicomico,21801
1524,Fast Food,McDonald's,1305 S Salisbury,Salisbury,MD,Wicomico,21801
1525,Fast Food,McDonald's,407 N Fruitland Blvd,Salisbury,MD,Wicomico,21801
1526,Fast Food,McDonald's,298 Tilghman Rd,Salisbury,MD,Wicomico,21801
1527,Fast Food,McDonald's,Salisbury Mall,Salisbury,MD,Wicomico,21801
1528,Fast Food,McDonald's,2709 N Salisbury Blvd,Salisbury,MD,Wicomico,21801
1539,Fast Food,McDonald's,6131 Martin Luther King Jr Hwy,Seat Pleasant,MD,Prince George's,20743
1571,Fast Food,McDonald's,2207 Bel Pre Rd,Silver Spring,MD,Montgomery,20906
1572,Fast Food,McDonald's,12313 Georgia Ave,Silver Spring,MD,Montgomery,20906
1573,Fast Food,McDonald's,12135 Viers Mill Rd,Silver Spring,MD,Montgomery,20906
1574,Fast Food,McDonald's,11160 Veirs Mill Rd,Silver Spring,MD,Montgomery,20902
1599,Fast Food,McDonald's,5616 Market St,Snow Hill,MD,Worcester,21863
1602,Fast Food,McDonald's,13500 H.G. Trueman Road,Solomons,MD,Calvert,20688
1608,Fast Food,McDonald's,4835 Silverhill Rd,Suitland,MD,Prince George's,20746
1609,Fast Food,McDonald's,4777 Allentown Road SE,Suitland,MD,Prince George's,20746
1618,Fast Food,McDonald's,6301 New Hampshire Ave,Takoma Park,MD,Montgomery,20912
1623,Fast Food,McDonald's,520 E Baltimore St,Taneytown,MD,Carroll,21787
1639,Fast Food,McDonald's,200 Frederick Road,Thurmont,MD,Frederick,21788
1640,Fast Food,McDonald's,2116 York Rd,Thurmont,MD,Baltimore,21093
1658,Fast Food,McDonald's,934 York Rd,Towson,MD,Baltimore,21204
1659,Fast Food,McDonald's,6830 Loch Raven Blvd,Towson,MD,Baltimore,21286
1660,Fast Food,McDonald's,1619 E Joppa Rd,Towson,MD,Baltimore,21286
1679,Fast Food,McDonald's,9450 Crain Highway,Upper Marlboro,MD,Prince George's,20772
1689,Fast Food,McDonald's,3406 Urbana Pike,Urbana,MD,Frederick,21704
1704,Fast Food,McDonald's,3000 Crain Highway,Waldorf,MD,Charles,20601
1705,Fast Food,McDonald's,3300 Leonardtown Rd,Waldorf,MD,Charles,20601
1706,Fast Food,McDonald's,11025 Mall Circle,Waldorf,MD,Charles,20603
1707,Fast Food,McDonald's,11930 Acton Ln,Waldorf,MD,Charles,20601
1708,Fast Food,McDonald's,2065 Crain Highway,Waldorf,MD,Charles,20604
1722,Fast Food,McDonald's,20 E Frederick St,Walkersville,MD,Frederick,21793
1725,Fast Food,McDonald's,182 Church St,Westernport,MD,Allegany,21562
1737,Fast Food,McDonald's,280 Woodward Rd,Westminster,MD,Carroll,21157
1738,Fast Food,McDonald's,520 Baltimore Blvd,Westminster,MD,Carroll,21157
1751,Fast Food,McDonald's,13701 Connecticut Ave,Wheaton,MD,Montgomery,20906
1760,Fast Food,McDonald's,8118 Perry Hills Ct,White Marsh,MD,Baltimore,21236
1761,Fast Food,McDonald's,5302 Campbell Blvd,White Marsh,MD,Baltimore,21236
1763,Fast Food,McDonald's,313 East Potomac Street,Williamsport,MD,Washington,21795
1773,Fast Food,McDonald's,702 Lisbon Center Dr,Woodbine,MD,Howard,21797
